,price,FriendsBldg_Dist,GapstowBridge_Dist,GentooPenguin_Dist,GlenSpanArch_Dist,GreenwichVlg_Dist,GreyHoudiinBus_Dist,GrizzlyBear_Dist,GroveCt_Dist,HangmansElm_Dist,HighLineAcc_Dist,HighLinePk_Dist,HuddlestoneArch_Dist,KayakBrooklin_Dist,LaCasaDeLosT_Dist,LaDeForestHouse_Dist,LePetitV_Dist,LesSkatePark_Dist,LizChristyGarden_Dist,LowLinePark_Dist
price,1.0,-0.15641311381710477,-0.12625590012118768,-0.12625590012118768,0.15212296085318247,-0.14543063223946381,-0.12439068092832525,-0.12625590012118768,-0.15641311381710477,-0.14543046521547215,-0.15949559736909807,-0.15949559736909807,0.15212296085318247,-0.1451972000486911,0.15264272152257263,-0.1454295822846819,-0.14484798074154373,-0.14502522556681474,-0.1441294449079212,-0.14438372720358833
FriendsBldg_Dist,-0.15641311381710477,1.0,0.3868267395212682,0.3868267395212682,-0.7845424209223752,0.5510022958816191,0.3849410039480372,0.3868267395212682,1.0,0.5510070808010427,0.7867681898402125,0.7867681898402125,-0.7845424209223752,0.553102735871594,-0.7839247550886413,0.5510075261570271,0.5523499924789413,0.5530100613612147,0.550378114182203,0.5518440196274427
GapstowBridge_Dist,-0.12625590012118768,0.3868267395212682,1.0,1.0,-0.6703930273001959,0.31874370216597386,0.9897603590674341,1.0,0.3868267395212682,0.31874647014524193,0.6632344740732072,0.6632344740732072,-0.6703930273001959,0.31995876428746806,-0.6698652306417948,0.31874672777468616,0.319523317434436,0.3199051539545248,0.31838262565652337,0.31923062235659766
GentooPenguin_Dist,-0.12625590012118768,0.3868267395212682,1.0,1.0,-0.6703930273001959,0.31874370216597386,0.9897603590674341,1.0,0.3868267395212682,0.31874647014524193,0.6632344740732072,0.6632344740732072,-0.6703930273001959,0.31995876428746806,-0.6698652306417948,0.31874672777468616,0.319523317434436,0.3199051539545248,0.31838262565652337,0.31923062235659766
GlenSpanArch_Dist,0.15212296085318247,-0.7845424209223752,-0.6703930273001959,-0.6703930273001959,1.0,-0.7517452118567121,-0.6671249389017813,-0.670393027300196,-0.7845424209223752,-0.7517517400332598,-0.9555192467448475,-0.9555192467448475,1.0,-0.7546108908512607,0.9988363799641784,-0.7517523476427587,-0.7535839055820287,-0.7544844528673185,-0.7508936262873381,-0.7528935950855269
GreenwichVlg_Dist,-0.14543063223946381,0.5510022958816191,0.31874370216597386,0.31874370216597386,-0.7517452118567121,1.0,0.3171898635180521,0.3187437021659739,0.5510022958816191,0.9999896585363485,0.7525661941140636,0.7525661941140636,-0.7517452118567121,0.9962024415108615,-0.7511533670811408,0.9999905077967908,0.9945900921712959,0.9960046336006964,0.9902659887745087,0.9934940600240307
GreyHoudiinBus_Dist,-0.12439068092832525,0.3849410039480372,0.9897603590674341,0.9897603590674341,-0.6671249389017813,0.3171898635180521,1.0,0.9897603590674341,0.3849410039480372,0.3171926180037416,0.6600012827930468,0.6600012827930468,-0.6671249389017813,0.31839900235236857,-0.6665997151909882,0.3171928743772721,0.3179656782523345,0.31834565336359205,0.31683054721478426,0.31767441002911606
GrizzlyBear_Dist,-0.12625590012118768,0.3868267395212682,1.0,1.0,-0.670393027300196,0.3187437021659739,0.9897603590674341,1.0,0.3868267395212682,0.31874647014524193,0.6632344740732072,0.6632344740732072,-0.6703930273001959,0.31995876428746806,-0.6698652306417948,0.31874672777468616,0.319523317434436,0.3199051539545248,0.31838262565652337,0.31923062235659766
GroveCt_Dist,-0.15641311381710477,1.0,0.3868267395212682,0.3868267395212682,-0.7845424209223752,0.5510022958816191,0.3849410039480372,0.3868267395212682,1.0,0.5510070808010427,0.7867681898402125,0.7867681898402125,-0.7845424209223752,0.553102735871594,-0.7839247550886413,0.5510075261570271,0.5523499924789413,0.5530100613612147,0.550378114182203,0.5518440196274427
HangmansElm_Dist,-0.14543046521547215,0.5510070808010427,0.31874647014524193,0.31874647014524193,-0.7517517400332598,0.9999896585363485,0.3171926180037416,0.31874647014524193,0.5510070808010427,1.0,0.7525727294200443,0.7525727294200443,-0.7517517400332598,0.9962110925608622,-0.7511598901180919,0.9999991917424657,0.9945987292196097,0.9960132829329277,0.9902745882721872,0.9935026875543705
