,price,PriceWaterHC_Dist,Dechert_Dist,MasterCard_Dist,KPMG_Dist,BakerTillyVK_Dist,ComcastNBC_Dist,Atlassian_Dist,CitzensBank_Dist,CapitalOne_Dist,Deloitte_Dist,Adobe_Dist,CumberlandF_Dist,AlstonBird_Dist,DHLExpress_Dist,Workiva_Dist,DropBox_Dist,Cooley_Dist,BainCo_Dist,AmericanExp_Dist
price,1.0,-0.1266411192142088,-0.1251453022919376,-0.1300173357498795,-0.12484554330223803,-0.12638560959786835,-0.12484554330223803,-0.14615710105905844,-0.12484554330223803,-0.1461552728760706,-0.12747200795806898,-0.1251453022919376,-0.15224449733052445,-0.1266407218915399,-0.15224449733052445,-0.1265700708499939,-0.1300037539869853,-0.1251453022919376,-0.1251453022919376,-0.1569087506854485
PriceWaterHC_Dist,-0.1266411192142088,1.0,0.984683677580366,0.9815247174722647,0.9885697930285362,0.9838695053470177,0.9885697930285362,0.3166115401454138,0.9885697930285362,0.3166139637921845,0.9874164310904404,0.984683677580366,0.6842065120170473,0.9999993131624013,0.6842065120170473,0.9793260043391127,0.9815301473351291,0.984683677580366,0.984683677580366,0.38455307616977086
Dechert_Dist,-0.1251453022919376,0.984683677580366,1.0,0.9849137773143445,0.9917930131099184,0.9872023805133149,0.9917930131099184,0.31762415288605106,0.9917930131099184,0.3176265842843257,0.9906661069490459,0.9999999999999998,0.6863947968501812,0.9846843538986032,0.6863947968501812,0.9827689786557923,0.9849192259257232,0.9999999999999998,0.9999999999999998,0.385782985048651
MasterCard_Dist,-0.1300173357498795,0.9815247174722647,0.9849137773143445,1.0,0.9887930426197814,0.9841010726719517,0.9887930426197814,0.3166815627574002,0.9887930426197814,0.3166839869401908,0.987641687812701,0.9849137773143445,0.68435783286621,0.9815253916208078,0.68435783286621,0.9795659197667861,0.9999726511073418,0.9849137773143445,0.9849137773143445,0.3846381249043446
KPMG_Dist,-0.12484554330223803,0.9885697930285362,0.9917930131099184,0.9887930426197814,1.0,0.9910195715742723,0.9999999999999998,0.3187860386145462,0.9999999999999998,0.3187884789070026,0.9943913862991656,0.9917930131099184,0.6889056648409404,0.9885704720159055,0.6889056648409404,0.9867078161987525,0.9887985126915251,0.9917930131099184,0.9917930131099184,0.3871941993424994
BakerTillyVK_Dist,-0.12638560959786835,0.9838695053470177,0.9872023805133149,0.9841010726719517,0.9910195715742723,1.0,0.9910195715742725,0.3173811116112222,0.9910195715742725,0.31738354114902706,0.9898864021921981,0.987202380513315,0.6858695777667252,0.9838701811060504,0.6858695777667252,0.9819435087434993,0.984106516787392,0.987202380513315,0.987202380513315,0.38548778964980757
ComcastNBC_Dist,-0.12484554330223803,0.9885697930285362,0.9917930131099184,0.9887930426197814,0.9999999999999998,0.9910195715742725,1.0,0.3187860386145462,0.9999999999999998,0.3187884789070026,0.9943913862991656,0.9917930131099184,0.6889056648409404,0.9885704720159055,0.6889056648409404,0.9867078161987525,0.9887985126915251,0.9917930131099184,0.9917930131099184,0.3871941993424994
Atlassian_Dist,-0.14615710105905844,0.3166115401454138,0.31762415288605106,0.3166815627574002,0.3187860386145462,0.3173811116112222,0.3187860386145462,1.0,0.3187860386145462,0.9999905756931958,0.31844089580269375,0.31762415288605106,0.7720191985426198,0.31661175760627314,0.7720191985426198,0.3160266844040379,0.3166833146617862,0.31762415288605106,0.31762415288605106,0.5511793346101
CitzensBank_Dist,-0.12484554330223803,0.9885697930285362,0.9917930131099184,0.9887930426197814,0.9999999999999998,0.9910195715742725,0.9999999999999998,0.3187860386145462,1.0,0.3187884789070026,0.9943913862991656,0.9917930131099184,0.6889056648409404,0.9885704720159055,0.6889056648409404,0.9867078161987525,0.9887985126915251,0.9917930131099184,0.9917930131099184,0.3871941993424994
CapitalOne_Dist,-0.1461552728760706,0.3166139637921845,0.3176265842843257,0.3166839869401908,0.3187884789070026,0.31738354114902706,0.3187884789070026,0.9999905756931958,0.3187884789070026,1.0,0.31844333345309783,0.31762658428432566,0.7720251083140596,0.3166141812547085,0.7720251083140596,0.31602910357376485,0.3166857388579875,0.31762658428432566,0.31762658428432566,0.5511835538625436
Deloitte_Dist,-0.12747200795806898,0.9874164310904404,0.9906661069490459,0.987641687812701,0.9943913862991656,0.9898864021921981,0.9943913862991656,0.31844089580269375,0.9943913862991656,0.31844333345309783,1.0,0.9906661069490459,0.6881598014420989,0.9874171092856366,0.6881598014420989,0.9855390082808745,0.9876471515150698,0.9906661069490459,0.9906661069490459,0.38677499248113617
Adobe_Dist,-0.1251453022919376,0.984683677580366,0.9999999999999998,0.9849137773143445,0.9917930131099184,0.987202380513315,0.9917930131099184,0.31762415288605106,0.9917930131099184,0.31762658428432566,0.9906661069490459,1.0,0.6863947968501812,0.9846843538986032,0.6863947968501812,0.9827689786557923,0.9849192259257232,0.9999999999999998,0.9999999999999998,0.385782985048651
CumberlandF_Dist,-0.15224449733052445,0.6842065120170473,0.6863947968501812,0.68435783286621,0.6889056648409404,0.6858695777667252,0.6889056648409404,0.7720191985426198,0.6889056648409404,0.7720251083140596,0.6881598014420989,0.6863947968501812,1.0,0.6842069819561278,1.0,0.6829426221832903,0.6843616187812426,0.6863947968501812,0.6863947968501812,0.80635918262525
