,price,80SouthSt_Dist,AccessHLPark_Dist,AmericanIcon_Dist,AntonKernGallery_Dist,ArchibaldsTown_dist,ArguablyBestLoc_dist,BAC_Dist,BarthmansSidewalk_Dist,BGIceCream_Dist,BloodyAngle_Dist,ByrantPark_Dist,CaliforniaSeaLion_Dist,CanalSt_Dist,CanalStMkt_Dist,CarrieBradshaw_Dist,CasaDiCarrie_Dist,Chelsea_Dist,ChelseaFleaMkt_Dist,ChelseaMkt_Dist
price,1.0,-0.15348867773298988,-0.12671458387529744,-0.1448101678382712,-0.12747200795806898,-0.1269967827963553,-0.12086347539185682,-0.12439103889023935,-0.15346553760573065,-0.14252230648820544,-0.14502522556681474,-0.12638560959786835,-0.12625590012118768,-0.14480864459963488,-0.1448101678382712,-0.14542936838214454,-0.14542936838214454,-0.12525617767294453,-0.1309442142229038,-0.15949559736909807
80SouthSt_Dist,-0.15348867773298988,1.0,0.38395969855455275,0.5499337640674147,0.3850281581242876,0.38579009336992864,0.3759012200386954,0.38341570443286743,0.9999393500161168,0.546732631266776,0.5508257501030324,0.3837467688284091,0.38529882879931415,0.549932603563598,0.5499337640674147,0.5488276284016063,0.5488276284016063,0.3839457925354008,0.38298381320637703,0.7836605671499172
AccessHLPark_Dist,-0.12671458387529744,0.38395969855455275,1.0,0.3182770619127391,0.9904514236382187,0.9925116422780157,0.9655883230613376,0.986086073892541,0.3839364114050237,0.31642438944716034,0.31879330352806345,0.9869823288586574,0.9911835084503491,0.3182763902650439,0.3182770619127391,0.3176368800712269,0.3176368800712269,0.9875216583193887,0.9849141694524501,0.6609293610616582
AmericanIcon_Dist,-0.1448101678382712,0.5499337640674147,0.3182770619127391,1.0,0.31916274385776605,0.31979433751789066,0.3115971190042268,0.3178261269542015,0.5499004105934874,0.9898401264049571,0.9980323228717511,0.31810055732674736,0.31938711185138025,0.9999978897389241,1.0,0.9940831960759497,0.9940831960759497,0.3182655347474266,0.31746811784243606,0.7540853092366903
AntonKernGallery_Dist,-0.12747200795806898,0.3850281581242876,0.9904514236382187,0.31916274385776605,1.0,0.9953047102870078,0.9689941606437862,0.9890083090148764,0.38500480617270283,0.31730491588854226,0.319680422038689,0.9898864021921981,0.9940026893195134,0.3191620703410507,0.31916274385776605,0.3185207805573729,0.3185207805573729,0.990414566932428,0.9878613402508848,0.6627685548713302
ArchibaldsTown_dist,-0.1269967827963553,0.38579009336992864,0.9925116422780157,0.31979433751789066,0.9953047102870078,1.0,0.9714117778011923,0.9910894391240439,0.3857666952069836,0.3179328330783095,0.320313040136231,0.9919549009145933,0.9960121464868438,0.3197936626683478,0.3197943375178906,0.31915110383128115,0.31915110383128115,0.992475300174595,0.9899598154623591,0.6640801127691193
ArguablyBestLoc_dist,-0.12086347539185682,0.3759012200386954,0.9655883230613376,0.3115971190042268,0.9689941606437862,0.9714117778011923,1.0,0.9638509551606604,0.37587842163575846,0.3097833301019934,0.31210252583146864,0.9649068127018998,0.9698540483856185,0.31159646145295516,0.3115971190042268,0.31097037318643145,0.31097037318643145,0.9655442202930027,0.9624600991248252,0.6470578920594032
BAC_Dist,-0.12439103889023935,0.38341570443286743,0.986086073892541,0.3178261269542015,0.9890083090148764,0.9910894391240439,0.9638509551606604,1.0,0.3833924502765731,0.31597607935507216,0.3183416371583773,0.9855030241315935,0.9897478723861385,0.3178254562580968,0.3178261269542015,0.317186852122357,0.317186852122357,0.986048096552044,0.9834126962320465,0.659992956307148
BarthmansSidewalk_Dist,-0.15346553760573065,0.9999393500161168,0.3839364114050237,0.5499004105934874,0.38500480617270283,0.3857666952069836,0.37587842163575846,0.3833924502765731,1.0,0.5466994719415014,0.5507923425301663,0.3837234945930645,0.38527546043155736,0.549899250160055,0.5499004105934873,0.5487943420147892,0.5487943420147892,0.3839225062292716,0.3829605852442787,0.7836130381491498
BGIceCream_Dist,-0.14252230648820544,0.546732631266776,0.31642438944716034,0.9898401264049571,0.31730491588854226,0.3179328330783095,0.3097833301019934,0.31597607935507216,0.5466994719415014,1.0,0.992165314226983,0.3162489122842086,0.31752797784897446,0.9898380375838668,0.9898401264049571,0.9868669298501074,0.9868669298501074,0.3164129293808139,0.31562015419374856,0.7496958220373166
BloodyAngle_Dist,-0.14502522556681474,0.5508257501030324,0.31879330352806345,0.9980323228717511,0.319680422038689,0.320313040136231,0.31210252583146864,0.3183416371583773,0.5507923425301663,0.992165314226983,1.0,0.318616512653729,0.3199051539545248,0.9980302167629876,0.9980323228717514,0.9960077430454319,0.9960077430454319,0.31878175766582567,0.3179830473600835,0.7553084266545564
ByrantPark_Dist,-0.12638560959786835,0.3837467688284091,0.9869823288586574,0.31810055732674736,0.9898864021921981,0.9919549009145933,0.9649068127018998,0.9855030241315935,0.3837234945930645,0.3162489122842086,0.318616512653729,1.0,0.9906214481798585,0.3180998860515229,0.31810055732674736,0.31746073050620405,0.31746073050620405,0.9869445814500659,0.9843260415982018,0.6605628342923618
CaliforniaSeaLion_Dist,-0.12625590012118768,0.38529882879931415,0.9911835084503491,0.31938711185138025,0.9940026893195134,0.9960121464868438,0.9698540483856185,0.9897478723861385,0.38527546043155736,0.31752797784897446,0.3199051539545248,0.9906214481798585,1.0,0.31938643786118986,0.31938711185138025,0.3187446972576565,0.3187446972576565,0.991146835787154,0.988607106535021,0.6632344740732072
CanalSt_Dist,-0.14480864459963488,0.549932603563598,0.3182763902650439,0.9999978897389241,0.3191620703410507,0.3197936626683478,0.31159646145295516,0.3178254562580968,0.549899250160055,0.9898380375838668,0.9980302167629876,0.3180998860515229,0.31938643786118986,1.0,0.9999978897389241,0.9940810983008747,0.9940810983008747,0.3182648631240567,0.3174674479018241,0.7540837179198141
CanalStMkt_Dist,-0.1448101678382712,0.5499337640674147,0.3182770619127391,1.0,0.31916274385776605,0.3197943375178906,0.3115971190042268,0.3178261269542015,0.5499004105934873,0.9898401264049571,0.9980323228717514,0.31810055732674736,0.31938711185138025,0.9999978897389241,1.0,0.9940831960759497,0.9940831960759497,0.3182655347474266,0.31746811784243606,0.7540853092366903
CarrieBradshaw_Dist,-0.14542936838214454,0.5488276284016063,0.3176368800712269,0.9940831960759497,0.3185207805573729,0.31915110383128115,0.31097037318643145,0.317186852122357,0.5487943420147892,0.9868669298501074,0.9960077430454319,0.31746073050620405,0.3187446972576565,0.9940810983008747,0.9940831960759497,1.0,0.9999999999999998,0.3176253760916315,0.3168295631093982,0.7525685435639672
CasaDiCarrie_Dist,-0.14542936838214454,0.5488276284016063,0.3176368800712269,0.9940831960759497,0.3185207805573729,0.31915110383128115,0.31097037318643145,0.317186852122357,0.5487943420147892,0.9868669298501074,0.9960077430454319,0.31746073050620405,0.3187446972576565,0.9940810983008747,0.9940831960759497,0.9999999999999998,1.0,0.3176253760916315,0.3168295631093982,0.7525685435639672
Chelsea_Dist,-0.12525617767294453,0.3839457925354008,0.9875216583193887,0.3182655347474266,0.990414566932428,0.992475300174595,0.9655442202930027,0.986048096552044,0.3839225062292716,0.3164129293808139,0.31878175766582567,0.9869445814500659,0.991146835787154,0.3182648631240567,0.3182655347474266,0.3176253760916315,0.3176253760916315,1.0,0.9848758763703693,0.660905423923496
ChelseaFleaMkt_Dist,-0.1309442142229038,0.38298381320637703,0.9849141694524501,0.31746811784243606,0.9878613402508848,0.9899598154623591,0.9624600991248252,0.9834126962320465,0.3829605852442787,0.31562015419374856,0.3179830473600835,0.9843260415982018,0.988607106535021,0.3174674479018241,0.31746811784243606,0.3168295631093982,0.3168295631093982,0.9848758763703693,1.0,0.6592495199687849
ChelseaMkt_Dist,-0.15949559736909807,0.7836605671499172,0.6609293610616582,0.7540853092366903,0.6627685548713302,0.6640801127691193,0.6470578920594032,0.659992956307148,0.7836130381491498,0.7496958220373166,0.7553084266545564,0.6605628342923618,0.6632344740732072,0.7540837179198141,0.7540853092366903,0.7525685435639672,0.7525685435639672,0.660905423923496,0.6592495199687849,1.0
